date,South Carolina-apple-driving,South Carolina-apple-walking,South Carolina-google-retail_and_recreation,South Carolina-google-grocery_and_pharmacy,South Carolina-google-parks,South Carolina-google-transit_stations,South Carolina-google-workplaces,South Carolina-google-residential,South Carolina-jh_beta_7,South Carolina-jh_gamma_7,South Carolina-cdc_beta_7,South Carolina-cdc_gamma_7,South Carolina-jh_beta_14,South Carolina-jh_gamma_14,South Carolina-cdc_beta_14,South Carolina-cdc_gamma_14,South Carolina-jh_beta_30,South Carolina-jh_gamma_30,South Carolina-cdc_beta_30,South Carolina-cdc_gamma_30,South Carolina-census_pop,South Carolina-jh_confirmed,South Carolina-jh_death,South Carolina-cdc_confirmed,South Carolina-cdc_death,South Carolina-jh_confirmed_ratio,South Carolina-jh_death_ratio,South Carolina-cdc_confirmed_ratio,South Carolina-cdc_death_ratio
04-23-2021,195.19,227.15,1.0,4.0,36.0,10.0,-19.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000002946025,1.601452306620897e-05,0.0250000003134747,1.6478093928512277e-05,0.0250000007320332,1.72819934625256e-05,0.0250000007783313,1.7782482414365582e-05,5148714,573225,9404,574311,9340,0.1113336262220041,0.0018264755043686,0.1115445526785912,0.001814045215951
04-24-2021,167.26,217.1,-8.0,-5.0,-7.0,-1.0,-12.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000003082269,1.61568911214223e-05,0.0250000002987364,1.5971075624433422e-05,0.0250000006429136,1.6334751022614798e-05,0.0250000006709703,1.664500455801722e-05,5148714,574226,9414,575162,9349,0.1115280437017865,0.0018284177369339,0.1117098366698946,0.0018157932252597
04-25-2021,147.16,165.54,8.0,8.0,57.0,29.0,-13.0,1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005329254,1.5173025699588996e-05,0.0250000005427416,1.5293392086941362e-05,5148714,574985,9430,575894,9366,0.1116754591534895,0.0018315253090383,0.1118520080936715,0.0018190950206206
04-26-2021,152.15,160.86,3.0,6.0,50.0,8.0,-18.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000002925613,1.5557841770512026e-05,0.025000000274915,1.517755150859019e-05,0.0250000005484361,1.531287400234888e-05,0.0250000005461544,1.5306442966701743e-05,5148714,575515,9433,576426,9369,0.1117783974794482,0.0018321079788079,0.1119553348661432,0.0018196776903902
04-27-2021,154.32,160.36,5.0,6.0,47.0,7.0,-20.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000003731189,1.7387064517289e-05,0.0250000003556467,1.7001853790616808e-05,0.0250000005388052,1.5210270231158156e-05,0.0250000005309329,1.5144642595598897e-05,5148714,575956,9435,576869,9371,0.1118640499355761,0.0018324964253209,0.1120413757687842,0.0018200661369033
04-28-2021,158.49,163.83,4.0,4.0,32.0,7.0,-21.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000003478803,1.6925056108934344e-05,0.0250000003307892,1.6541568924899426e-05,0.0250000004859944,1.467377919448954e-05,0.0250000004850617,1.4680271059962062e-05,5148714,576639,9472,577563,9407,0.1119967044197832,0.0018396826858124,0.1121761667088131,0.0018270581741382
04-29-2021,169.97,181.02,4.0,5.0,41.0,11.0,-21.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000003464571,1.673629748499975e-05,0.0250000003353019,1.649374647279057e-05,0.0250000005663375,1.5472417335611775e-05,0.0250000005645483,1.5473013946203763e-05,5148714,577550,9495,578367,9431,0.1121736418064782,0.0018441498207125,0.1123323222070598,0.0018317195322948
04-30-2021,200.99,238.37,4.0,6.0,44.0,13.0,-19.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000004417493,1.8692645718729486e-05,0.0250000004378368,1.8611119197733547e-05,0.0250000006287476,1.6063103815004284e-05,0.025000000626657,1.6061428422694135e-05,5148714,578659,9497,579158,9435,0.1123890353979654,0.0018445382672255,0.1124859528029717,0.0018324964253209
05-01-2021,202.67,275.53,6.0,9.0,101.0,20.0,-9.0,-1.0,0.025,1e-05,0.025,1e-05,0.0250000005240231,2.0533307487796755e-05,0.0250000005231391,2.0498891983940905e-05,0.0250000005807257,1.552759685522167e-05,0.0250000005867878,1.560637969922618e-05,5148714,579556,9506,579864,9444,0.112563253659069,0.0018462862765342,0.1126230744220789,0.0018342444346296
05-02-2021,148.71,166.62,9.0,10.0,60.0,33.0,-13.0,0.0,0.025,1e-05,0.025,1e-05,0.025000000529392,2.0688037349911984e-05,0.0250000005312255,2.070021568286906e-05,0.0250000004796368,1.4446625538561956e-05,0.0250000005128626,1.4805080427195812e-05,5148714,580273,9520,580591,9458,0.112702511733998,0.0018490054021256,0.1127642747295732,0.001836963560221
