date,Kansas-apple-driving,Kansas-apple-walking,Kansas-google-retail_and_recreation,Kansas-google-grocery_and_pharmacy,Kansas-google-parks,Kansas-google-transit_stations,Kansas-google-workplaces,Kansas-google-residential,Kansas-jh_beta_7,Kansas-jh_gamma_7,Kansas-cdc_beta_7,Kansas-cdc_gamma_7,Kansas-jh_beta_14,Kansas-jh_gamma_14,Kansas-cdc_beta_14,Kansas-cdc_gamma_14,Kansas-jh_beta_30,Kansas-jh_gamma_30,Kansas-cdc_beta_30,Kansas-cdc_gamma_30,Kansas-census_pop,Kansas-jh_confirmed,Kansas-jh_death,Kansas-cdc_confirmed,Kansas-cdc_death,Kansas-jh_confirmed_ratio,Kansas-jh_death_ratio,Kansas-cdc_confirmed_ratio,Kansas-cdc_death_ratio
02-23-2021,119.4,164.86,-8.0,-7.0,78.0,-2.0,-24.0,7.0,0.0250000010784258,5.3540274277316414e-05,0.0250000010990479,5.434189084172971e-05,0.0249999770751172,9.972275975692007e-05,0.0249999761697022,0.0001033178427079,0.0250000097281319,9.83754457326189e-05,0.0250000100461534,0.0001010126875546,2913314,294091,4640,291715,4643,0.1009472374072962,0.0015926879148625,0.1001316713543408,0.0015937176699799
02-24-2021,118.41,150.02,-8.0,-4.0,12.0,-2.0,-22.0,6.0,0.0250000011589007,5.85097936528023e-05,0.0250000011797264,5.934678951274892e-05,0.0249999713389807,0.0001077927982633,0.0249999702245353,0.0001116311826905,0.0250000101193249,0.0001027143366798,0.0250000104510236,0.0001055037606032,2913314,295189,4719,292837,4724,0.101324127780253,0.0016198047996199,0.1005167997682364,0.0016215210581488
02-25-2021,122.8,155.33,-14.0,-9.0,2.0,-5.0,-24.0,8.0,0.0250000007200657,3.828874421490723e-05,0.0250000007313436,3.870711568385413e-05,0.0249999845246902,8.486227194526088e-05,0.0249999839367879,8.774576689664816e-05,0.0250000100689906,0.0001026009588276,0.0250000104746094,0.0001061671912373,2913314,295215,4719,292837,4724,0.1013330523246035,0.0016198047996199,0.1005167997682364,0.0016215210581488
02-26-2021,146.88,192.73,-6.0,-10.0,29.0,1.0,-18.0,4.0,0.0250000008611099,4.447049912964e-05,0.0250000008743772,4.4961958213758494e-05,0.0249999794014831,9.369320291889364e-05,0.0249999786533051,9.686571245659725e-05,0.0250000104563201,0.0001068336620224,0.0250000108927014,0.0001107175385257,2913314,295997,4730,293663,4735,0.1016014751585308,0.0016235805683836,0.1008003256772184,0.0016252968269125
02-27-2021,154.59,220.84,-10.0,-3.0,66.0,3.0,-4.0,2.0,0.0250000004491279,2.650681325617765e-05,0.02500000045598,2.6736389436806936e-05,0.024999984711878,8.284834419222014e-05,0.0249999842288973,8.54504266600486e-05,0.0250000094528761,9.72432777774679e-05,0.025000009852379,0.0001008093832898,2913314,295997,4730,293663,4735,0.1016014751585308,0.0016235805683836,0.1008003256772184,0.0016252968269125
02-28-2021,107.56,131.38,0.0,-1.0,11.0,6.0,-4.0,3.0,0.0250000005220231,3.0483980047112545e-05,0.025000000529656,3.0753095902048715e-05,0.024999980434785,8.972996938933788e-05,0.024999979814094,9.252924693200652e-05,0.0250000097652009,0.0001008894700067,0.025000010191964,0.0001047461117927,2913314,295997,4730,293663,4735,0.1016014751585308,0.0016235805683836,0.1008003256772184,0.0016252968269125
03-01-2021,115.25,154.32,-11.0,-5.0,23.0,-1.0,-21.0,6.0,0.0250000005632311,3.33569769414296e-05,0.0250000005712912,3.365600416929768e-05,0.0249999762941181,9.550325387772514e-05,0.0249999755371236,9.846628017575226e-05,0.0250000091726177,9.555544168375296e-05,0.0250000095953384,9.941751627398244e-05,2913314,296644,4738,294302,4744,0.1018235590121765,0.0016263265820299,0.1010196635172178,0.0016283860922646
03-02-2021,119.3,162.09,-7.0,-5.0,57.0,-3.0,-23.0,7.0,0.0250000004309827,2.8294046157294584e-05,0.0250000004424252,2.8736928589730083e-05,0.0249999802113616,8.729570902942645e-05,0.0249999795512037,9.000158798934735e-05,0.0250000094372732,9.88265566388836e-05,0.0250000098696907,0.0001028069319768,2913314,296654,4738,294302,4744,0.1018269915292344,0.0016263265820299,0.1010196635172178,0.0016283860922646
03-03-2021,124.37,164.61,-3.0,2.0,82.0,3.0,-22.0,5.0,0.0250000004502233,2.972721297875209e-05,0.0250000004631018,3.023058310692836e-05,0.0249999772253231,9.132754490328448e-05,0.0249999764525719,9.418302101558046e-05,0.0250000096439824,0.0001015551914018,0.0250000101107282,0.0001059075322477,2913314,297444,4810,295109,4816,0.102098160376808,0.0016510407048467,0.1012966676437898,0.0016531002150815
03-04-2021,129.04,171.84,-9.0,-5.0,69.0,1.0,-24.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000043932795,0.0001006311177223,0.0250000044737216,0.0001021637383189,0.0250000094688679,0.0001002798541344,0.0250000099387544,0.0001046898816802,2913314,297474,4810,295109,4816,0.1021084579279816,0.0016510407048467,0.1012966676437898,0.0016531002150815
