date,Illinois-apple-driving,Illinois-apple-walking,Illinois-google-retail_and_recreation,Illinois-google-grocery_and_pharmacy,Illinois-google-parks,Illinois-google-transit_stations,Illinois-google-workplaces,Illinois-google-residential,Illinois-jh_beta_7,Illinois-jh_gamma_7,Illinois-cdc_beta_7,Illinois-cdc_gamma_7,Illinois-jh_beta_14,Illinois-jh_gamma_14,Illinois-cdc_beta_14,Illinois-cdc_gamma_14,Illinois-jh_beta_30,Illinois-jh_gamma_30,Illinois-cdc_beta_30,Illinois-cdc_gamma_30,Illinois-census_pop,Illinois-jh_confirmed,Illinois-jh_death,Illinois-cdc_confirmed,Illinois-cdc_death,Illinois-jh_confirmed_ratio,Illinois-jh_death_ratio,Illinois-cdc_confirmed_ratio,Illinois-cdc_death_ratio
03-07-2021,100.78,116.08,-13.0,-4.0,55.0,-27.0,-12.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000014898791,3.924779262796007e-05,0.0250000014879519,3.92170908651552e-05,0.0250000026980296,3.5325415360476975e-05,0.0250000026973997,3.532090503391241e-05,12671821,1198335,23015,1198335,23014,0.0945669134688692,0.001816234620107,0.0945669134688692,0.0018161557048509
03-08-2021,106.84,114.61,-17.0,-6.0,26.0,-39.0,-33.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000014847659,3.91964508108182e-05,0.0250000014820903,3.91522834052308e-05,0.0250000024803072,3.319242006358304e-05,0.0250000024794023,3.31858280025715e-05,12671821,1199517,23021,1199517,23020,0.094660191301629,0.0018167081116439,0.094660191301629,0.0018166291963877
03-09-2021,112.51,120.41,-15.0,-6.0,36.0,-38.0,-32.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000014446892,3.860743196391368e-05,0.0250000014413919,3.855104106068359e-05,0.025000002357701,3.204821128108974e-05,0.0250000023565448,3.203964427298545e-05,12671821,1201027,23040,1201027,23039,0.0947793533384033,0.0018182075015106,0.0947793533384033,0.0018181285862544
03-10-2021,111.54,113.8,-16.0,-5.0,-1.0,-37.0,-32.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000014821119,3.980608764089057e-05,0.0250000014783047,3.973865949824532e-05,0.0250000022667728,3.122989083682448e-05,0.0250000022654025,3.1219577623971177e-05,12671821,1202709,23068,1202709,23067,0.0949120887992341,0.0018204171286826,0.0949120887992341,0.0018203382134264
03-11-2021,116.19,118.6,-17.0,-4.0,-1.0,-37.0,-31.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000013857726,3.801257606447003e-05,0.025000001381555,3.793526756342111e-05,0.0250000022397163,3.105779413916752e-05,0.0250000022381211,3.104556897404752e-05,12671821,1204409,23123,1204409,23122,0.0950462447346754,0.0018247574677704,0.0950462447346754,0.0018246785525142
03-12-2021,116.19,118.6,-17.0,-7.0,-3.0,-34.0,-30.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000013926908,3.8267208833003446e-05,0.0250000013881513,3.81811831419208e-05,0.0250000022737945,3.1479332337856746e-05,0.0250000022720103,3.1465427409359584e-05,12671821,1206172,23164,1206172,23163,0.0951853723312537,0.0018279929932722,0.0951853723312537,0.001827914078016
03-13-2021,142.84,204.65,-9.0,1.0,57.0,-16.0,-7.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000012195042,3.4450703314612594e-05,0.0250000012147174,3.4357051983958706e-05,0.0250000021696852,3.048566119141896e-05,0.0250000021677321,3.04701823155806e-05,12671821,1207847,23189,1207847,23188,0.0953175553852915,0.0018299658746757,0.0953175553852915,0.0018298869594196
03-14-2021,103.16,117.14,-13.0,-7.0,7.0,-25.0,-13.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000012079205,3.426722141647743e-05,0.0250000012029538,3.416710838535813e-05,0.025000001910167,2.791324609654634e-05,0.0250000019080628,2.7896289264265774e-05,12671821,1209331,23207,1209331,23206,0.0954346656254061,0.0018313863492863,0.0954346656254061,0.0018313074340301
03-15-2021,103.6,95.05,-26.0,-17.0,-40.0,-43.0,-34.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000012325173,3.497522875409708e-05,0.0250000012274269,3.486979704149673e-05,0.0250000018755886,2.7639111595083662e-05,0.0250000018733492,2.7620764679550755e-05,12671821,1210113,23217,1210113,23216,0.0954963773557091,0.0018321755018477,0.0954963773557091,0.0018320965865916
03-16-2021,113.19,107.74,-15.0,-5.0,-24.0,-38.0,-33.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000012405016,3.542187074996174e-05,0.0250000012353318,3.531221048493892e-05,0.0250000017790614,2.674861950722402e-05,0.0250000017767009,2.672896409583844e-05,12671821,1212110,23236,1212110,23235,0.0956539711222246,0.0018336748917144,0.0956539711222246,0.0018335959764583
03-17-2021,120.41,114.62,-10.0,-5.0,-29.0,-37.0,-32.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000011350452,3.334531236988707e-05,0.0250000011298276,3.3232443191789674e-05,0.0250000017598094,2.664765367817964e-05,0.0250000017573408,2.6626767560938005e-05,12671821,1213765,23255,1213765,23255,0.0957845758711395,0.0018351742815811,0.0957845758711395,0.0018351742815811
03-18-2021,121.8,115.97,-15.0,-6.0,-31.0,-38.0,-32.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009910437,3.0387972696262327e-05,0.0250000009868551,3.0289141009984343e-05,0.0250000017033531,2.6169423658063197e-05,0.0250000017011081,2.614964225961484e-05,12671821,1216090,23287,1216090,23287,0.0959680538416696,0.0018376995697776,0.0959680538416696,0.0018376995697776
03-19-2021,149.05,163.79,-12.0,-5.0,2.0,-30.0,-30.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000008603226,2.7600336074737965e-05,0.0250000008570234,2.7515304684916555e-05,0.0250000016846651,2.60634891991725e-05,0.0250000016826301,2.604478605843093e-05,12671821,1218470,23304,1218470,23304,0.0961558721512874,0.0018390411291321,0.0961558721512874,0.0018390411291321
