date,Missouri-apple-driving,Missouri-apple-walking,Missouri-google-retail_and_recreation,Missouri-google-grocery_and_pharmacy,Missouri-google-parks,Missouri-google-transit_stations,Missouri-google-workplaces,Missouri-google-residential,Missouri-jh_beta_7,Missouri-jh_gamma_7,Missouri-cdc_beta_7,Missouri-cdc_gamma_7,Missouri-jh_beta_14,Missouri-jh_gamma_14,Missouri-cdc_beta_14,Missouri-cdc_gamma_14,Missouri-jh_beta_30,Missouri-jh_gamma_30,Missouri-cdc_beta_30,Missouri-cdc_gamma_30,Missouri-census_pop,Missouri-jh_confirmed,Missouri-jh_death,Missouri-cdc_confirmed,Missouri-cdc_death,Missouri-jh_confirmed_ratio,Missouri-jh_death_ratio,Missouri-cdc_confirmed_ratio,Missouri-cdc_death_ratio
02-26-2021,138.54,177.94,-5.0,-9.0,8.0,-8.0,-11.0,6.0,0.025000000422304,2.57429109428925e-05,0.025,1e-05,0.0250000034608349,7.578018213063356e-05,0.0250000010028749,3.00866483502947e-05,0.0250000056412298,6.092104662075049e-05,0.0250000022671285,3.1373514912650684e-05,6137428,561987,8270,550374,8543,0.0915671841690037,0.0013474699825399,0.0896750234788905,0.0013919511560868
02-27-2021,147.12,212.78,-6.0,2.0,68.0,-6.0,-5.0,2.0,0.0250000003772196,2.3994380213150248e-05,0.025,1e-05,0.0250000035396525,7.78310646922827e-05,0.025000000942806,2.891262424398677e-05,0.0250000056558711,6.119442900257794e-05,0.0250000020681523,2.947335838960228e-05,6137428,562624,8282,550683,8553,0.0916709735739466,0.0013494251989595,0.0897253703016964,0.0013935805031032
02-28-2021,103.44,124.1,-5.0,-2.0,0.0,-10.0,-10.0,3.0,0.0250000004123919,2.6059844660931455e-05,0.025,1e-05,0.0250000035910177,7.973468007828182e-05,0.0250000008360313,2.671235252188981e-05,0.0250000057179956,6.202254856115495e-05,0.0250000019281651,2.816457617320919e-05,6137428,562920,8281,551059,8568,0.0917192022456312,0.0013492622642579,0.089786633749512,0.0013960245236278
03-01-2021,110.92,142.62,-7.0,-1.0,17.0,-14.0,-23.0,7.0,0.0250000004481194,2.841539659391341e-05,0.025,1e-05,0.0250000038355206,8.639215802677637e-05,0.025000000776167,2.5474581773605955e-05,0.0250000058150606,6.327583562974208e-05,0.0250000017892753,2.685245910947907e-05,6137428,563489,8283,551834,8574,0.0918119120908628,0.0013495881336612,0.0899129081432808,0.0013970021318376
03-02-2021,113.86,146.68,-7.0,-2.0,39.0,-13.0,-24.0,7.0,0.0250000004605086,2.964803550663432e-05,0.025,1e-05,0.0250000040324544,9.224724736650644e-05,0.0250000007851254,2.5824707579483763e-05,0.0250000058939273,6.43736354544117e-05,0.0250000016915804,2.5953737888150996e-05,6137428,564139,8298,552471,8581,0.091917819646927,0.0013520321541857,0.0900166975482237,0.001398142674749
03-03-2021,118.59,156.49,5.0,4.0,43.0,-4.0,-22.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000041778637,9.682432762889502e-05,0.0250000007437402,2.510155624480815e-05,0.0250000060596316,6.634893768531557e-05,0.0250000016244783,2.5365623852688786e-05,6137428,564834,8482,553096,8597,0.0920310592645649,0.001382012139287,0.090118531736747,0.0014007496299752
03-04-2021,122.18,156.02,-5.0,0.0,51.0,-7.0,-22.0,6.0,0.025,1e-05,0.025,1e-05,0.0249999933749187,7.308876831827954e-05,0.0250000007339789,2.4959664062532345e-05,0.0250000063113683,6.883979585440637e-05,0.0250000014919072,2.4109771436046183e-05,6137428,565588,8488,553704,8606,0.0921539120295993,0.0013829897474968,0.0902175960353424,0.00140221604229
03-05-2021,144.26,187.25,-2.0,-7.0,26.0,-5.0,-12.0,5.0,0.0250000003091124,2.053209422230318e-05,0.025,1e-05,0.0250000029548092,6.78413181807061e-05,0.0250000006987899,2.4262802922555e-05,0.0250000047643823,5.3238114311404e-05,0.0250000014069375,2.332932547544576e-05,6137428,566213,8504,554253,8611,0.0922557462181226,0.001385596702723,0.0903070471865413,0.0014030307157982
03-06-2021,148.75,217.97,-5.0,3.0,79.0,-1.0,-7.0,1.0,0.0250000003775546,2.340619167553453e-05,0.025,1e-05,0.0250000028171961,6.444542897152888e-05,0.0250000006203997,2.266569336363149e-05,0.0250000044943629,5.0574029819138126e-05,0.0250000013383432,2.2719733766689232e-05,6137428,566841,8512,554583,8620,0.0923580692107508,0.0013869001803361,0.0903608156380816,0.0014044971281129
03-07-2021,111.43,144.35,3.0,5.0,84.0,-1.0,-10.0,1.0,0.025000000422859,2.5879582932304905e-05,0.025,1e-05,0.0250000030394344,6.946937572482194e-05,0.0250000005815516,2.1911731407391023e-05,0.025000004526128,5.10411262208322e-05,0.025000001201655,2.1417357551417688e-05,6137428,567217,8514,554990,8630,0.0924193326585664,0.0013872260497394,0.0904271300616479,0.0014061264751293
03-08-2021,113.48,142.74,-6.0,0.0,45.0,-13.0,-24.0,6.0,0.0250000004719466,2.8911848479380476e-05,0.025,1e-05,0.0250000033127481,7.605024079678818e-05,0.025,1e-05,0.0250000046141986,5.214861084704482e-05,0.0250000011460915,2.092748939907967e-05,6137428,567734,8516,555805,8640,0.0925035698993128,0.0013875519191426,0.0905599218434823,0.0014077558221456
03-09-2021,118.36,150.18,-5.0,-1.0,64.0,-12.0,-25.0,6.0,0.0250000004925534,3.075358369405417e-05,0.025,1e-05,0.0250000035018368,8.101666868738777e-05,0.025,1e-05,0.0250000046718763,5.298266606493747e-05,0.025000001152691,2.105671462271194e-05,6137428,568406,8625,556426,8645,0.092613062018813,0.0014053118016211,0.090661104293199,0.0014085704956538
03-10-2021,119.32,149.05,1.0,1.0,10.0,-4.0,-23.0,4.0,0.0250000005647807,3.334458384915345e-05,0.025,1e-05,0.0250000023861032,5.578880207591744e-05,0.025,1e-05,0.0250000048869014,5.521780860830091e-05,0.0250000010616072,2.020297379342426e-05,6137428,568441,8637,557125,8656,0.0926187647333704,0.0014072670180407,0.0907749956496434,0.0014103627773718
