date,Connecticut-apple-driving,Connecticut-apple-walking,Connecticut-google-retail_and_recreation,Connecticut-google-grocery_and_pharmacy,Connecticut-google-parks,Connecticut-google-transit_stations,Connecticut-google-workplaces,Connecticut-google-residential,Connecticut-jh_beta_7,Connecticut-jh_gamma_7,Connecticut-cdc_beta_7,Connecticut-cdc_gamma_7,Connecticut-jh_beta_14,Connecticut-jh_gamma_14,Connecticut-cdc_beta_14,Connecticut-cdc_gamma_14,Connecticut-jh_beta_30,Connecticut-jh_gamma_30,Connecticut-cdc_beta_30,Connecticut-cdc_gamma_30,Connecticut-census_pop,Connecticut-jh_confirmed,Connecticut-jh_death,Connecticut-cdc_confirmed,Connecticut-cdc_death,Connecticut-jh_confirmed_ratio,Connecticut-jh_death_ratio,Connecticut-cdc_confirmed_ratio,Connecticut-cdc_death_ratio
05-19-2021,157.51,172.63,3.0,2.0,87.0,-17.0,-28.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000006447583,1.633486372983717e-05,0.0250000005066473,1.4936905190585574e-05,3565287,345948,8204,345948,8204,0.0970323006254475,0.0023010770240937,0.0970323006254475,0.0023010770240937
05-20-2021,161.74,177.7,1.0,2.0,79.0,-16.0,-25.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000004932103,1.4805797352534769e-05,0.0250000004932103,1.4805797352534769e-05,3565287,346154,8208,346154,8208,0.0970900799851456,0.0023021989534082,0.0970900799851456,0.0023021989534082
05-21-2021,181.68,204.68,-4.0,-3.0,71.0,-17.0,-24.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000004884462,1.4768971420588844e-05,0.0250000004884462,1.4768971420588844e-05,3565287,346325,8212,346325,8212,0.0971380424633416,0.0023033208827227,0.0971380424633416,0.0023033208827227
05-22-2021,183.41,220.04,0.0,-3.0,183.0,-10.0,-10.0,-1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000000470264,1.4600592089436928e-05,0.025000000470264,1.4600592089436928e-05,3565287,346325,8212,346453,8212,0.0971380424633416,0.0023033208827227,0.0971739442014065,0.0023033208827227
05-23-2021,154.47,164.14,6.0,-3.0,119.0,-6.0,-10.0,0.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000003928873,1.384376754171528e-05,0.0250000003928873,1.384376754171528e-05,3565287,346325,8212,346581,8212,0.0971380424633416,0.0023033208827227,0.0972098459394713,0.0023033208827227
05-24-2021,145.24,158.12,1.0,2.0,66.0,-18.0,-25.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000003513811,1.3470642664199413e-05,0.0250000003513811,1.3470642664199413e-05,3565287,346711,8219,346711,8219,0.0972463086421934,0.0023052842590231,0.0972463086421934,0.0023052842590231
05-25-2021,152.02,162.46,1.0,2.0,68.0,-19.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000004020936,1.4023693263770522e-05,0.0250000003988328,1.399461635073306e-05,3565287,346892,8221,346892,8221,0.0972970759436757,0.0023058452236804,0.0972970759436757,0.0023058452236804
05-26-2021,155.16,167.36,2.0,0.0,69.0,-18.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000004494737,1.4548998772412542e-05,0.0250000004427405,1.4488810923445844e-05,3565287,346980,8227,346980,8227,0.0973217583885953,0.0023075281176522,0.0973217583885953,0.0023075281176522
05-27-2021,173.68,181.57,4.0,3.0,82.0,-11.0,-25.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000002868175,1.2926610867451611e-05,0.0250000002868175,1.2926610867451611e-05,3565287,347137,8230,347137,8230,0.0973657941141905,0.0023083695646381,0.0973657941141905,0.0023083695646381
05-28-2021,184.09,191.86,-4.0,-1.0,34.0,-10.0,-26.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000003209525,1.3311458785022666e-05,0.0250000003209525,1.3311458785022666e-05,3565287,347341,8238,347341,8238,0.0974230125092313,0.0023106134232671,0.0974230125092313,0.0023106134232671
05-29-2021,157.7,178.56,-9.0,-6.0,20.0,-13.0,-15.0,4.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000002312092,1.2412325028859696e-05,0.0250000002312092,1.2412325028859696e-05,3565287,347341,8238,347396,8238,0.0974230125092313,0.0023106134232671,0.0974384390373061,0.0023106134232671
