date,Iowa-apple-driving,Iowa-apple-walking,Iowa-google-retail_and_recreation,Iowa-google-grocery_and_pharmacy,Iowa-google-parks,Iowa-google-transit_stations,Iowa-google-workplaces,Iowa-google-residential,Iowa-jh_beta_7,Iowa-jh_gamma_7,Iowa-cdc_beta_7,Iowa-cdc_gamma_7,Iowa-jh_beta_14,Iowa-jh_gamma_14,Iowa-cdc_beta_14,Iowa-cdc_gamma_14,Iowa-jh_beta_30,Iowa-jh_gamma_30,Iowa-cdc_beta_30,Iowa-cdc_gamma_30,Iowa-census_pop,Iowa-jh_confirmed,Iowa-jh_death,Iowa-cdc_confirmed,Iowa-cdc_death,Iowa-jh_confirmed_ratio,Iowa-jh_death_ratio,Iowa-cdc_confirmed_ratio,Iowa-cdc_death_ratio
04-14-2021,146.5,149.84,5.0,17.0,54.0,-5.0,-18.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000008671222,2.9024604271063327e-05,0.0250000008683578,2.904851058215852e-05,0.025000000724353,1.6653476500801268e-05,0.0250000007249516,1.6658603919757846e-05,3155070,358395,5857,358395,5857,0.1135933592598579,0.0018563771960685,0.1135933592598579,0.0018563771960685
04-15-2021,155.53,154.27,2.0,8.0,64.0,-8.0,-19.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000007364013,2.652977588636355e-05,0.0250000007379225,2.6559677747365023e-05,0.0250000007717442,1.723860106674112e-05,0.0250000007730303,1.724968380621779e-05,3155070,358873,5870,358873,5870,0.1137448614452294,0.0018604975483903,0.1137448614452294,0.0018604975483903
04-16-2021,186.56,201.2,6.0,12.0,84.0,-2.0,-17.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000006939271,2.5771383476041938e-05,0.0250000006951679,2.5795975225542167e-05,0.025000000682576,1.6366501334629466e-05,0.0250000006843516,1.6381853723320097e-05,3155070,359260,5878,359260,5878,0.1138675211643481,0.0018630331498191,0.1138675211643481,0.0018630331498191
04-17-2021,199.19,239.51,6.0,19.0,148.0,-1.0,-1.0,-1.0,0.025,1e-05,0.025,1e-05,0.0250000007154727,2.6307526942212653e-05,0.025000000716691,2.6331707208063103e-05,0.0250000006563703,1.614968938849292e-05,0.0250000006577295,1.616148364293292e-05,3155070,359765,5881,359764,5881,0.1140275810045419,0.0018639840003549,0.1140272640543633,0.0018639840003549
04-18-2021,145.9,138.36,17.0,26.0,156.0,2.0,-4.0,-1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000006554763,1.6213726224470394e-05,0.0250000006573339,1.622992317764017e-05,3155070,360054,5881,360013,5881,0.1141191796061577,0.0018639840003549,0.114106184648835,0.0018639840003549
04-19-2021,133.49,133.25,0.0,15.0,21.0,-10.0,-20.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007090259,1.686953025469368e-05,0.0250000007105161,1.688260066152092e-05,3155070,360345,5886,360173,5886,0.1142114121081307,0.0018655687512479,0.1141568966774112,0.0018655687512479
04-20-2021,140.31,143.43,-1.0,15.0,41.0,-11.0,-21.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007414776,1.7302657172342516e-05,0.0250000007428487,1.7314748353941563e-05,3155070,360784,5893,360782,5893,0.1143505532365367,0.0018677874024982,0.1143499193361795,0.0018677874024982
04-21-2021,145.99,147.83,4.0,19.0,51.0,-4.0,-18.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007859751,1.785211107511433e-05,0.0250000007863937,1.7855819200088553e-05,3155070,361423,5899,361424,5899,0.114553084400663,0.0018696891035698,0.1145534013508416,0.0018696891035698
04-22-2021,160.85,168.9,4.0,11.0,106.0,-2.0,-19.0,4.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000008387445,1.8485153384668536e-05,0.0250000008403721,1.8499626894028825e-05,3155070,361900,5904,361894,5904,0.1147042696358559,0.0018712738544628,0.1147023679347843,0.0018712738544628
04-23-2021,191.36,208.98,7.0,13.0,88.0,0.0,-17.0,2.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000000807737,1.823606841435603e-05,0.0250000008107652,1.826311651959115e-05,3155070,362334,5907,362334,5907,0.1148418260133689,0.0018722247049986,0.1148418260133689,0.0018722247049986
