date,Delaware-apple-driving,Delaware-apple-walking,Delaware-google-retail_and_recreation,Delaware-google-grocery_and_pharmacy,Delaware-google-parks,Delaware-google-transit_stations,Delaware-google-workplaces,Delaware-google-residential,Delaware-jh_beta_7,Delaware-jh_gamma_7,Delaware-cdc_beta_7,Delaware-cdc_gamma_7,Delaware-jh_beta_14,Delaware-jh_gamma_14,Delaware-cdc_beta_14,Delaware-cdc_gamma_14,Delaware-jh_beta_30,Delaware-jh_gamma_30,Delaware-cdc_beta_30,Delaware-cdc_gamma_30,Delaware-census_pop,Delaware-jh_confirmed,Delaware-jh_death,Delaware-cdc_confirmed,Delaware-cdc_death,Delaware-jh_confirmed_ratio,Delaware-jh_death_ratio,Delaware-cdc_confirmed_ratio,Delaware-cdc_death_ratio
02-04-2021,111.73,141.18,-17.0,-8.0,-23.0,-40.0,-31.0,11.0,0.0250000003476407,2.3582106411735257e-05,0.0250000004735093,2.6815631520224664e-05,0.0250000037196255,8.365010992244624e-05,0.0250000034390081,7.443664968110513e-05,0.0250000108864194,0.0001057792921134,0.0250000069164816,7.004253895303623e-05,973764,79225,1321,80945,1135,0.0813595491310009,0.001356591535526,0.0831258908729425,0.0011655801611067
02-05-2021,130.07,163.91,-20.0,-13.0,-27.0,-44.0,-30.0,12.0,0.0250000002751912,2.0595664878867635e-05,0.0250000005845226,3.124266941807608e-05,0.0250000032671248,7.448805976681229e-05,0.0250000039375788,8.448017903381644e-05,0.025000010586433,0.0001035722643369,0.0250000066987139,6.77169449498715e-05,973764,79546,1325,81518,1191,0.0816891977933051,0.0013606993070189,0.0837143291392986,0.0012230889620072
02-06-2021,125.31,164.18,-11.0,4.0,-27.0,-37.0,-6.0,5.0,0.025,1e-05,0.025000000933173,4.323205804902657e-05,0.0250000029089126,6.725662101235517e-05,0.0250000050470841,0.0001043033279456,0.0250000102468204,0.0001009188807859,0.0250000072912674,7.255011960125783e-05,973764,79832,1329,82019,1202,0.0819829034550466,0.0013648070785118,0.0842288275187827,0.0012343853336126
02-07-2021,69.01,103.72,-46.0,-32.0,-59.0,-61.0,-23.0,9.0,0.025,1e-05,0.025000001222216,5.445952396279692e-05,0.0250000030476347,7.06725685309477e-05,0.0250000055927851,0.0001129408617144,0.0250000097307517,9.671787359356863e-05,0.0250000078375487,7.69015802934539e-05,973764,80594,1335,82382,1208,0.0827654339244416,0.0013709687357511,0.0846016077817623,0.0012405469908519
02-08-2021,107.64,134.13,-22.0,-14.0,-31.0,-41.0,-34.0,11.0,0.0250000002668827,2.021756050772943e-05,0.0250000013458879,6.017190104173254e-05,0.0250000025778338,6.069382870008228e-05,0.0250000062624881,0.0001255706750082,0.0250000097047487,9.6998044003855e-05,0.0250000072533676,7.058083082798272e-05,973764,80931,1339,82668,1208,0.0831115136727174,0.001375076507244,0.0848953134435037,0.0012405469908519
02-09-2021,106.99,136.91,-20.0,-11.0,-25.0,-43.0,-31.0,12.0,0.0250000002883374,2.1073750860401327e-05,0.0250000748372566,0.0002024254969522,0.0250000026115103,6.156479483405951e-05,0.025000002914304,0.0001224007745109,0.0250000091321291,9.206100384350956e-05,0.0250000077636323,7.517439015079132e-05,973764,81210,1343,82936,1221,0.0833980307343463,0.0013791842787369,0.0851705341335272,0.0012538972482038
02-10-2021,113.91,151.9,-15.0,-4.0,-22.0,-39.0,-33.0,11.0,0.025,1e-05,0.0250000811603636,0.0002153864200317,0.0250000025754347,6.0883325632882536e-05,0.0250000027273814,0.0001181975793088,0.0250000087664863,8.904995437965019e-05,0.0250000081286936,7.835217201542554e-05,973764,81461,1346,83385,1245,0.083655793395525,0.0013822651073566,0.0856316314836038,0.0012785438771612
02-11-2021,100.56,148.21,-30.0,-22.0,-40.0,-48.0,-40.0,16.0,0.0250000002631087,2.002152072528238e-05,0.0250000690083355,0.0001985309671657,0.0250000024089093,5.740805712950628e-05,0.0250000007875066,0.0001260306261476,0.0250000084342549,8.628401258947305e-05,0.0250000079835854,7.63379275457382e-05,973764,81875,1350,83776,1262,0.0840809477450388,0.0013863728788494,0.0860331661470335,0.0012960019060059
02-12-2021,134.97,197.47,-19.0,-7.0,-37.0,-42.0,-33.0,13.0,0.025000000276167,2.065923258348815e-05,0.0250000850111857,0.0002209939541872,0.0250000021294574,5.143114849347566e-05,0.0249999977594784,0.0001393917576656,0.0250000079800749,8.230783997210459e-05,0.0250000083306491,7.921213223085082e-05,973764,82263,1352,84203,1269,0.0844794015798489,0.0013884267645959,0.0864716707538993,0.0013031905061185
02-13-2021,117.47,194.76,-22.0,-6.0,-37.0,-44.0,-13.0,9.0,0.0250000002647202,2.0347913768276973e-05,0.0250000008294624,4.070537585776629e-05,0.0250000019360024,4.744046310051215e-05,0.0249999930565167,0.0001512126114065,0.025000007612646,7.920061603664407e-05,0.0250000087246312,8.279691960187761e-05,973764,82672,1356,84552,1282,0.0848994212149966,0.0013925345360888,0.0868300738166537,0.0013165407634704
