date,California-apple-driving,California-apple-walking,California-google-retail_and_recreation,California-google-grocery_and_pharmacy,California-google-parks,California-google-transit_stations,California-google-workplaces,California-google-residential,California-jh_beta_7,California-jh_gamma_7,California-cdc_beta_7,California-cdc_gamma_7,California-jh_beta_14,California-jh_gamma_14,California-cdc_beta_14,California-cdc_gamma_14,California-jh_beta_30,California-jh_gamma_30,California-cdc_beta_30,California-cdc_gamma_30,California-census_pop,California-jh_confirmed,California-jh_death,California-cdc_confirmed,California-cdc_death,California-jh_confirmed_ratio,California-jh_death_ratio,California-cdc_confirmed_ratio,California-cdc_death_ratio
04-17-2021,138.05,154.48,-20.0,-8.0,3.0,-31.0,-17.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000008734165,2.7172722519999413e-05,0.0250000009613981,2.898619691773257e-05,0.0250000021847013,3.0976419783473833e-05,0.0250000022984431,3.184413631105535e-05,39512223,3782736,59813,3614112,59690,0.0957358435641548,0.0015137847344099,0.0914682021307684,0.0015106717736433
04-18-2021,113.97,120.04,-17.0,-9.0,11.0,-29.0,-15.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000008875286,2.752571361140724e-05,0.025000000896142,2.7556607523804225e-05,0.0250000020498147,2.9690866110803284e-05,0.0250000021761982,3.069069364616826e-05,39512223,3784853,59847,3616779,59768,0.095789421921414,0.0015146452276299,0.0915357002312929,0.0015126458463245
04-19-2021,113.18,108.41,-19.0,-10.0,-4.0,-39.0,-38.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000009457892,2.9003661650463632e-05,0.0250000008675183,2.698302544504418e-05,0.0250000020607775,2.9904055476443003e-05,0.0250000020366887,2.935936494890206e-05,39512223,3786623,59856,3618695,59772,0.095834218186104,0.001514873005247,0.0915841915551043,0.001512747080821
04-20-2021,117.93,113.86,-19.0,-8.0,-1.0,-40.0,-38.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000010020537,3.05888107114537e-05,0.0250000009532508,2.9135715647721823e-05,0.025000002082883,3.0244105738353664e-05,0.0250000020767402,2.9869885758132085e-05,39512223,3789004,59938,3620301,59804,0.0958944780201306,0.0015169483124247,0.0916248372054389,0.0015135569567928
04-21-2021,114.81,109.15,-20.0,-11.0,-11.0,-41.0,-39.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009648602,3.0012785426898192e-05,0.0250000010461772,3.151441639468522e-05,0.0250000017640182,2.708280943867394e-05,0.0250000021088273,3.0305500526417963e-05,39512223,3791613,60039,3622427,59890,0.0959605082204562,0.0015195044834607,0.0916786433403152,0.001515733498467
04-22-2021,119.06,112.58,-20.0,-10.0,-14.0,-40.0,-38.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009068864,2.8840728976190625e-05,0.0250000009627179,2.9898607979579507e-05,0.0250000017733392,2.725614235346294e-05,0.0250000017562025,2.681875514838096e-05,39512223,3793681,60133,3624838,59992,0.0960128464551336,0.0015218834941278,0.0917396624330653,0.0015183149781271
04-23-2021,137.95,134.73,-21.0,-10.0,-11.0,-38.0,-36.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000007738494,2.590650390158225e-05,0.0250000008711974,2.796774402209296e-05,0.0250000016117931,2.5667087553592543e-05,0.0250000017860583,2.7194165885275057e-05,39512223,3794748,60201,3626656,60086,0.0960398507570682,0.0015236044805679,0.091785673511713,0.0015206939887943
04-24-2021,134.13,149.46,-20.0,-9.0,-1.0,-32.0,-17.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000006018529,2.210123133387682e-05,0.0250000007435031,2.514778830255809e-05,0.0250000014471154,2.404002300254721e-05,0.0250000016112401,2.547701308334525e-05,39512223,3797096,60260,3627885,60135,0.0960992754064989,0.0015250976893909,0.0918167778107549,0.0015219341113761
04-25-2021,105.54,107.2,-19.0,-13.0,-13.0,-31.0,-16.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000005482851,2.0952849794955865e-05,0.0250000005819991,2.162127113058313e-05,0.0250000012733533,2.231716847799386e-05,0.0250000014455903,2.385405383286779e-05,39512223,3799233,60295,3629624,60188,0.0961533599362405,0.0015259834912351,0.0918607895080972,0.0015232754684544
04-26-2021,109.56,104.96,-20.0,-11.0,-11.0,-40.0,-38.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000005756323,2.168400730799608e-05,0.0250000005203553,2.033083887667802e-05,0.0250000011053256,2.06590492945222e-05,0.0250000012727467,2.215807847552977e-05,39512223,3800973,60294,3631740,60203,0.0961973969422069,0.0015259581826109,0.0919143425567323,0.0015236550978161
04-27-2021,113.58,108.5,-19.0,-9.0,1.0,-40.0,-37.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000006326558,2.320931603444428e-05,0.0250000005622517,2.143839851199501e-05,0.0250000009607484,1.9256792255388077e-05,0.025000001123202,2.071194049892143e-05,39512223,3802798,60341,3633185,60208,0.0962435851812235,0.0015271476879445,0.0919509135185838,0.0015237816409367
04-28-2021,117.27,112.83,-18.0,-9.0,1.0,-40.0,-38.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000005534879,2.1677093343019765e-05,0.0250000006218909,2.30285550611697e-05,0.0250000009437108,1.915807234503338e-05,0.0250000009870277,1.941576691822177e-05,39512223,3804502,60428,3634778,60273,0.0962867110767217,0.0015293495382428,0.0919912301568049,0.0015254267015044
04-29-2021,123.0,116.84,-18.0,-8.0,-3.0,-39.0,-38.0,10.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005136175,2.082066596501523e-05,0.0250000009812326,1.960356655220371e-05,0.0250000010151967,1.9781023729073017e-05,39512223,3806474,60533,3636235,60362,0.0963366196834837,0.0015320069437753,0.0920281048221458,0.001527679169051
04-30-2021,143.82,141.17,-19.0,-7.0,-5.0,-37.0,-36.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000009141887,1.89598634794573e-05,0.0250000010678664,2.037947672303863e-05,39512223,3808749,60686,3638132,60467,0.0963941968033537,0.0015358791632655,0.0920761152820989,0.0015303365745835
05-01-2021,139.54,154.96,-19.0,-6.0,3.0,-29.0,-17.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000008426553,1.823815113264744e-05,0.0250000009855919,1.958640449251682e-05,39512223,3811151,60802,3640226,60625,0.0964549881184867,0.0015388149636632,0.0921291115410034,0.0015343353371942
05-02-2021,111.75,115.89,-16.0,-9.0,5.0,-28.0,-16.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007425706,1.7208070374821566e-05,0.0250000009063557,1.8788553426464422e-05,39512223,3812784,60847,3642480,60748,0.0964963171016725,0.0015399538517486,0.0921861571797668,0.0015374482979608
05-03-2021,113.14,110.57,-16.0,-6.0,-1.0,-38.0,-37.0,10.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000000671516,1.648560050702011e-05,0.0250000008068684,1.7765876203461617e-05,39512223,3814256,60847,3643992,60763,0.0965335713963752,0.0015399538517486,0.0922244238194343,0.0015378279273226
