date,Pennsylvania-apple-driving,Pennsylvania-apple-walking,Pennsylvania-google-retail_and_recreation,Pennsylvania-google-grocery_and_pharmacy,Pennsylvania-google-parks,Pennsylvania-google-transit_stations,Pennsylvania-google-workplaces,Pennsylvania-google-residential,Pennsylvania-jh_beta_7,Pennsylvania-jh_gamma_7,Pennsylvania-cdc_beta_7,Pennsylvania-cdc_gamma_7,Pennsylvania-jh_beta_14,Pennsylvania-jh_gamma_14,Pennsylvania-cdc_beta_14,Pennsylvania-cdc_gamma_14,Pennsylvania-jh_beta_30,Pennsylvania-jh_gamma_30,Pennsylvania-cdc_beta_30,Pennsylvania-cdc_gamma_30,Pennsylvania-census_pop,Pennsylvania-jh_confirmed,Pennsylvania-jh_death,Pennsylvania-cdc_confirmed,Pennsylvania-cdc_death,Pennsylvania-jh_confirmed_ratio,Pennsylvania-jh_death_ratio,Pennsylvania-cdc_confirmed_ratio,Pennsylvania-cdc_death_ratio
04-25-2021,120.44,109.36,-3.0,-1.0,87.0,-17.0,-12.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000013924475,3.639567584458775e-05,0.025000001383139,3.619874012700199e-05,0.0250000016502752,2.4469783228200963e-05,0.0250000016170505,2.4182444773006707e-05,12801989,1138602,25987,1140324,25988,0.0889394608915848,0.0020299189446264,0.0890739712399378,0.0020299970574884
04-26-2021,126.78,107.01,-8.0,-1.0,53.0,-30.0,-29.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000015603069,4.024823939185193e-05,0.0250000015619518,4.024880009741405e-05,0.0250000016656334,2.4609770323248868e-05,0.0250000016163966,2.4150580473732192e-05,12801989,1141337,25996,1142189,25988,0.0891530995691372,0.0020306219603844,0.0892196517275557,0.0020299970574884
04-27-2021,132.79,117.06,-5.0,2.0,93.0,-29.0,-29.0,7.0,0.025,1e-05,0.0250000002478971,2.0094475854422345e-05,0.0250000016897049,4.346112957731069e-05,0.0250000017105836,4.3905597259105705e-05,0.0250000016784996,2.4769663918748215e-05,0.0250000016147108,2.415563178561785e-05,12801989,1144960,26068,1146000,26072,0.0894361024681399,0.0020362460864479,0.0895173398446132,0.0020365585378959
04-28-2021,138.36,124.59,-4.0,5.0,81.0,-27.0,-30.0,7.0,0.025,1e-05,0.025,1e-05,0.025000001618582,4.200439096539453e-05,0.0250000016010639,4.1550499054536906e-05,0.0250000017774663,2.5722143143118932e-05,0.0250000016980561,2.4952796095447557e-05,12801989,1148513,26128,1149301,26129,0.089713637466803,0.0020409328581675,0.0897751904020539,0.0020410109710295
04-29-2021,133.97,114.28,-9.0,0.0,11.0,-30.0,-29.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000015940693,4.141839538576535e-05,0.0250000015804934,4.102796144890439e-05,0.0250000018407005,2.6321050058734868e-05,0.0250000017913295,2.5836619379151745e-05,12801989,1151913,26176,1153006,26179,0.089979221197581,0.0020446822755432,0.09006459855574,0.0020449166141292
04-30-2021,164.82,151.31,-11.0,0.0,32.0,-27.0,-28.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000015824999,4.108256471522787e-05,0.0250000015935106,4.120959164378475e-05,0.0250000018417744,2.630624773360917e-05,0.0250000018086707,2.5975387294425796e-05,12801989,1156326,26209,1157398,26218,0.0903239332575586,0.002047259999989,0.0904076702456157,0.002047963015747
05-01-2021,168.79,182.52,-6.0,3.0,138.0,-11.0,-11.0,0.0,0.025,1e-05,0.025,1e-05,0.025000001478368,3.880144327634351e-05,0.0250000015431681,4.006104337850109e-05,0.025000001814129,2.6016696372123312e-05,0.0250000017925818,2.5786451001039425e-05,12801989,1159010,26239,1160428,26253,0.0905335881791493,0.0020496033858488,0.0906443522174562,0.0020506969659167
05-02-2021,130.7,124.53,1.0,4.0,175.0,-11.0,-12.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000015200313,3.980975669858566e-05,0.0250000015652213,4.058001873580424e-05,0.0250000018227183,2.6105785686565638e-05,0.0250000018353361,2.619868901712821e-05,12801989,1161192,26258,1162868,26275,0.0907040304440192,0.0020510875302267,0.0908349476007204,0.0020524154488806
05-03-2021,125.61,103.7,-8.0,0.0,9.0,-31.0,-30.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000015880565,4.153456814454535e-05,0.0250000016235833,4.204032636889088e-05,0.0250000018614612,2.652713005714726e-05,0.025000001863891,2.6504545342173697e-05,12801989,1163655,26274,1164514,26276,0.0908964224231094,0.0020523373360186,0.0909635213715618,0.0020524935617426
05-04-2021,133.9,116.78,-3.0,5.0,53.0,-30.0,-28.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000016988292,4.4298368541565465e-05,0.0250000017649778,4.555057842849122e-05,0.0250000018599364,2.658168216901784e-05,0.02500000183451,2.6282632670192443e-05,12801989,1166279,26325,1167734,26334,0.0911013905729805,0.0020563210919803,0.0912150447871811,0.0020570241077382
