date,Texas-apple-driving,Texas-apple-walking,Texas-google-retail_and_recreation,Texas-google-grocery_and_pharmacy,Texas-google-parks,Texas-google-transit_stations,Texas-google-workplaces,Texas-google-residential,Texas-jh_beta_7,Texas-jh_gamma_7,Texas-cdc_beta_7,Texas-cdc_gamma_7,Texas-jh_beta_14,Texas-jh_gamma_14,Texas-cdc_beta_14,Texas-cdc_gamma_14,Texas-jh_beta_30,Texas-jh_gamma_30,Texas-cdc_beta_30,Texas-cdc_gamma_30,Texas-census_pop,Texas-jh_confirmed,Texas-jh_death,Texas-cdc_confirmed,Texas-cdc_death,Texas-jh_confirmed_ratio,Texas-jh_death_ratio,Texas-cdc_confirmed_ratio,Texas-cdc_death_ratio
01-31-2021,95.74,114.49,-15.0,-11.0,-17.0,-27.0,-14.0,5.0,0.0250000007478802,3.781962499350969e-05,0.0250000007381248,3.827218313905365e-05,0.0250000058868334,0.000121950092947,0.0250000058719798,0.0001231278746529,0.0250000127874442,0.0001190824261229,0.0250000150137751,0.0001401162474151,28995881,2376344,37074,2360632,41189,0.0819545369219855,0.0012785953977394,0.0814126668543025,0.0014205121065298
02-01-2021,102.96,118.11,-19.0,-12.0,-24.0,-30.0,-31.0,10.0,0.025000000790461,4.011247169330441e-05,0.0250000007157861,3.745139089591062e-05,0.0250000061564572,0.0001282326354916,0.0250000058299899,0.000122528677472,0.0250000127422205,0.0001188037958425,0.0250000149135626,0.0001395928308024,28995881,2412627,37245,2392443,41422,0.0832058525829927,0.0012844927870962,0.0825097537129497,0.0014285477306242
02-02-2021,104.48,119.51,-18.0,-11.0,-15.0,-30.0,-31.0,10.0,0.0250000008192751,4.200530797425956e-05,0.025000000690316,3.652743824083285e-05,0.0250000064813913,0.0001360191272625,0.0250000057941364,0.0001221502287372,0.0250000130354286,0.0001220341758863,0.0250000149330291,0.0001400602605273,28995881,2431687,37619,2415490,41666,0.0838631873265033,0.0012973911708356,0.0833045907451475,0.0014369627189461
02-03-2021,106.25,120.53,-16.0,-8.0,-9.0,-29.0,-29.0,10.0,0.025000000797721,4.1266570667834345e-05,0.0250000006609618,3.540159761482663e-05,0.0250000064694447,0.0001362047179222,0.025000005690075,0.0001203189790126,0.0250000134187904,0.0001260598921982,0.0250000147524613,0.0001388087409156,28995881,2449535,38039,2433110,41934,0.0844787230296606,0.0013118759867996,0.0839122632624958,0.0014462054110375
02-04-2021,110.69,125.75,-18.0,-11.0,-6.0,-29.0,-31.0,10.0,0.0250000007390108,3.845751492785308e-05,0.0250000006382052,3.4466392711075456e-05,0.0250000062630866,0.0001317667414256,0.0250000056216327,0.000119201245005,0.0250000137908024,0.0001298887271112,0.0250000144954244,0.0001368420681926,28995881,2463424,38453,2448393,42207,0.0849577220985284,0.0013261538768213,0.0844393381253013,0.0014556205414141
02-05-2021,129.45,148.42,-20.0,-12.0,-30.0,-30.0,-29.0,10.0,0.0250000007183057,3.704048618902931e-05,0.0250000006338098,3.425186409044621e-05,0.025000006093919,0.0001278012606608,0.02500000550131,0.0001168779830699,0.0250000136826451,0.00012930671158,0.0250000141217687,0.0001339396164667,28995881,2478003,38893,2462886,42455,0.0854605176507656,0.0013413284459265,0.0849391677390316,0.0014641734803643
02-06-2021,129.08,165.5,-18.0,-7.0,-19.0,-27.0,-13.0,5.0,0.0250000007414719,3.742731870692447e-05,0.0250000006293472,3.405241682462732e-05,0.0250000059779492,0.0001247058515309,0.0250000054822318,0.0001167332298773,0.0250000135643688,0.0001283556228415,0.0250000137796298,0.0001312048386808,28995881,2486505,39182,2476783,42676,0.0857537317110661,0.001351295378816,0.0854184427091558,0.0014717952525739
02-07-2021,90.3,108.62,-22.0,-8.0,-27.0,-30.0,-14.0,5.0,0.0250000007901151,3.934832085450895e-05,0.0250000006190791,3.367546349016196e-05,0.0250000060127979,0.0001251127132863,0.0250000054443079,0.0001162236451143,0.0250000132646878,0.0001257439677567,0.0250000134318958,0.0001284239137831,28995881,2494861,39322,2483187,42882,0.0860419105734362,0.001356123650804,0.0856393016649502,0.0014788997099277
02-08-2021,101.49,114.02,-21.0,-14.0,-24.0,-30.0,-31.0,10.0,0.0250000008603759,4.287091278976726e-05,0.0250000006062776,3.326212916801613e-05,0.0250000062621835,0.0001307699832551,0.0250000052980963,0.000113413553627,0.0250000124769681,0.0001184488914448,0.0250000130923822,0.0001257097499667,28995881,2504578,39482,2491227,43099,0.0863770271370613,0.0013616416759332,0.0859165824276903,0.0014863835315091
02-09-2021,104.9,115.64,-19.0,-10.0,-25.0,-29.0,-31.0,11.0,0.0250000009019153,4.543622573112591e-05,0.0250000006078763,3.347463114947095e-05,0.0250000064924441,0.0001364028953926,0.025000005153947,0.0001106289099541,0.0250000125454924,0.0001195349056763,0.0250000126865691,0.0001223358141273,28995881,2518333,39799,2504556,43306,0.0868514048598833,0.0013725742632203,0.086376268408606,0.00149352247652
