date,Oregon-apple-driving,Oregon-apple-walking,Oregon-google-retail_and_recreation,Oregon-google-grocery_and_pharmacy,Oregon-google-parks,Oregon-google-transit_stations,Oregon-google-workplaces,Oregon-google-residential,Oregon-jh_beta_7,Oregon-jh_gamma_7,Oregon-cdc_beta_7,Oregon-cdc_gamma_7,Oregon-jh_beta_14,Oregon-jh_gamma_14,Oregon-cdc_beta_14,Oregon-cdc_gamma_14,Oregon-jh_beta_30,Oregon-jh_gamma_30,Oregon-cdc_beta_30,Oregon-cdc_gamma_30,Oregon-census_pop,Oregon-jh_confirmed,Oregon-jh_death,Oregon-cdc_confirmed,Oregon-cdc_death,Oregon-jh_confirmed_ratio,Oregon-jh_death_ratio,Oregon-cdc_confirmed_ratio,Oregon-cdc_death_ratio
02-13-2021,64.78,111.19,-52.0,-23.0,-13.0,-58.0,-44.0,11.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000079721795,7.736527011377041e-05,0.0250000079594148,7.725503148102081e-05,4217737,150034,2137,150034,2137,0.0355721563482976,0.000506669808952,0.0355721563482976,0.000506669808952
02-14-2021,65.18,92.99,-37.0,-17.0,-32.0,-49.0,-36.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000076119407,7.362674978926386e-05,0.0250000076003834,7.352191522245776e-05,4217737,150281,2137,150281,2137,0.0356307185583169,0.000506669808952,0.0356307185583169,0.000506669808952
02-15-2021,74.98,86.32,-28.0,-13.0,-13.0,-48.0,-58.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000006583916,2.1523838270689832e-05,0.0250000006575735,2.148557209161112e-05,0.0250000074421473,7.177871468166957e-05,0.025000007431739,7.167933643204852e-05,4217737,150464,2137,150464,2137,0.035674106754404,0.000506669808952,0.035674106754404,0.000506669808952
02-16-2021,102.13,105.09,-20.0,-4.0,1.0,-38.0,-42.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000007432634,2.318972330805569e-05,0.0250000007427808,2.3160611081670317e-05,0.0250000065984359,6.38887848612521e-05,0.0250000065890989,6.37947099881046e-05,4217737,150875,2138,150875,2138,0.0357715523751243,0.0005069069029197,0.0357715523751243,0.0005069069029197
02-17-2021,110.25,110.28,-18.0,-5.0,19.0,-36.0,-37.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000006735376,2.182212909803456e-05,0.0250000006732985,2.1802119841665165e-05,0.0250000069616036,6.718196683042714e-05,0.0250000069532941,6.70933926743353e-05,4217737,151257,2143,151257,2143,0.0358621222707817,0.0005080923727581,0.0358621222707817,0.0005080923727581
02-18-2021,114.9,106.69,-24.0,-8.0,-26.0,-40.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000006762821,2.199696456045142e-05,0.0250000006761956,2.1985913661890693e-05,0.0250000072366968,6.973680610589202e-05,0.0250000072293536,6.965375098102753e-05,4217737,151713,2149,151713,2149,0.035970237120048,0.0005095149365643,0.035970237120048,0.0005095149365643
02-19-2021,131.49,126.21,-26.0,-10.0,-17.0,-39.0,-34.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000006919809,2.247701202429519e-05,0.0250000007362117,2.3376977664006096e-05,0.0250000074318633,7.160308739376643e-05,0.0250000074254186,7.152548403957146e-05,4217737,152190,2149,152190,2149,0.0360833309426358,0.0005095149365643,0.0360833309426358,0.0005095149365643
02-20-2021,122.68,136.04,-22.0,-9.0,22.0,-28.0,-11.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000007141349,2.3162302092543837e-05,0.0250000007141295,2.3161193472873373e-05,0.0250000069831636,6.765528212907168e-05,0.0250000069775478,6.758301531562664e-05,4217737,152711,2154,152711,2154,0.0362068568998019,0.0005107004064027,0.0362068568998019,0.0005107004064027
02-21-2021,95.78,95.64,-20.0,-12.0,-16.0,-32.0,-15.0,5.0,0.025,1e-05,0.025,1e-05,0.025000000641724,2.1920067947278013e-05,0.0250000006481046,2.2050207302209772e-05,0.025000006940357,6.746135409267262e-05,0.0250000069354999,6.739426777293395e-05,4217737,152818,2155,152818,2155,0.0362322259543447,0.0005109375003704,0.0362322259543447,0.0005109375003704
02-22-2021,104.83,100.3,-22.0,-12.0,-6.0,-41.0,-35.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000006551807,2.24587991878103e-05,0.0250000006551807,2.24587991878103e-05,0.0250000065110827,6.378632686925598e-05,0.0250000065069217,6.372433993235368e-05,4217737,153135,2156,153134,2155,0.0363073847421022,0.0005111745943381,0.0363071476481345,0.0005109375003704
