date,Maryland-apple-driving,Maryland-apple-walking,Maryland-google-retail_and_recreation,Maryland-google-grocery_and_pharmacy,Maryland-google-parks,Maryland-google-transit_stations,Maryland-google-workplaces,Maryland-google-residential,Maryland-jh_beta_7,Maryland-jh_gamma_7,Maryland-cdc_beta_7,Maryland-cdc_gamma_7,Maryland-jh_beta_14,Maryland-jh_gamma_14,Maryland-cdc_beta_14,Maryland-cdc_gamma_14,Maryland-jh_beta_30,Maryland-jh_gamma_30,Maryland-cdc_beta_30,Maryland-cdc_gamma_30,Maryland-census_pop,Maryland-jh_confirmed,Maryland-jh_death,Maryland-cdc_confirmed,Maryland-cdc_death,Maryland-jh_confirmed_ratio,Maryland-jh_death_ratio,Maryland-cdc_confirmed_ratio,Maryland-cdc_death_ratio
04-25-2021,117.12,141.84,-11.0,-5.0,77.0,-24.0,-15.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000009127405,2.741312237299956e-05,0.0250000010499512,3.0028711811146807e-05,0.0250000018829166,2.647985127345875e-05,0.0250000022215484,2.9491464682026527e-05,6045680,443257,8661,443814,9230,0.0733179725026796,0.0014325931905095,0.0734101044051289,0.001526709981342
04-26-2021,120.12,142.24,-13.0,-5.0,47.0,-36.0,-36.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009416313,2.8088144811427185e-05,0.02500000098553,2.86972605305091e-05,0.0250000018687742,2.636515733334225e-05,0.0250000021962077,2.929624407681809e-05,6045680,443814,8670,444491,9252,0.0734101044051289,0.0014340818567969,0.0735220851914094,0.0015303489433777
04-27-2021,127.4,155.07,-9.0,-1.0,99.0,-32.0,-35.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000009264225,2.7874775911355028e-05,0.0250000010523112,3.0111437567164455e-05,0.0250000018583784,2.63048322138028e-05,0.0250000022432289,2.977001814070674e-05,6045680,444491,8688,445493,9261,0.0735220851914094,0.0014370591893715,0.073687823371399,0.001531837609665
04-28-2021,133.01,163.05,-8.0,-1.0,85.0,-33.0,-38.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009273826,2.7944673659342525e-05,0.0250000010550716,3.024894007406961e-05,0.0250000019333554,2.706680886438216e-05,0.0250000022404228,2.9775338059013907e-05,6045680,445493,8709,446459,9278,0.073687823371399,0.001440532744042,0.0738476068862394,0.0015346495348744
04-29-2021,131.49,155.5,-12.0,-3.0,45.0,-35.0,-36.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009836478,2.911648753991708e-05,0.0250000010171272,2.948968361145629e-05,0.0250000019802352,2.753241303552192e-05,0.025000002293906,3.0324426733804424e-05,6045680,446459,8718,447401,9299,0.0738476068862394,0.0014420214103293,0.0740034206243135,0.0015381230895449
04-30-2021,157.59,186.98,-13.0,-5.0,31.0,-33.0,-34.0,11.0,0.025,1e-05,0.025,1e-05,0.025000000942897,2.8273210007486483e-05,0.0250000010681611,3.0584502715855554e-05,0.0250000019861619,2.7614202760009097e-05,0.0250000022758991,3.0166143649193576e-05,6045680,447401,8744,448340,9314,0.0740034206243135,0.001446322001826,0.0741587381402919,0.0015406042000238
05-01-2021,162.96,217.7,-9.0,1.0,152.0,-16.0,-12.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000009485941,2.828088652829171e-05,0.0250000011220559,3.1754645172094895e-05,0.02500000199907,2.77365775355734e-05,0.0250000022280694,2.9722624306821244e-05,6045680,448340,8764,448989,9327,0.0741587381402919,0.0014496301491312,0.0742660875203451,0.0015427544957721
05-02-2021,128.35,162.55,-6.0,0.0,156.0,-18.0,-14.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000009526638,2.82179908974137e-05,0.0250000011282413,3.19331277333895e-05,0.0250000019786141,2.7523960426065792e-05,0.0250000021965319,2.9445024352836005e-05,6045680,448989,8776,449509,9347,0.0742660875203451,0.0014516150375143,0.0743520993502798,0.0015460626430773
05-03-2021,117.94,137.38,-13.0,-4.0,8.0,-36.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.025000000948331,2.804822194570153e-05,0.0250000011151316,3.1629142467963206e-05,0.0250000019646751,2.738624217675593e-05,0.025000002199087,2.9468261782855284e-05,6045680,449509,8788,450010,9357,0.0743520993502798,0.0014535999258975,0.0744349684402747,0.0015477167167299
05-04-2021,127.88,149.87,-8.0,1.0,49.0,-33.0,-35.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000009800763,2.8714807725082223e-05,0.0250000010737584,3.078305356841243e-05,0.0250000018868422,2.6632506226568506e-05,0.0250000021886155,2.9423118022871355e-05,6045680,450010,8803,450689,9369,0.0744349684402747,0.0014560810363763,0.0745472800412856,0.001549701605113
